srcStateName,srcYear,"Micro, Small, Medium Enterprises (MSME) Projects under Prime Minister Employment Generation Programme (PMEGP)",Fund released under Prime Minister Employment Generation Programme (PMEGP),Employment Generated under Prime Minister Employment Generation Programme (PMEGP),YearCode,Year
LADAKH,2017-18,172,41710350,1376,2017,"Calendar Year (Jan - Dec), 2017"
MADHYA PRADESH,2017-18,1804,761439318,14432,2017,"Calendar Year (Jan - Dec), 2017"
MAHARASHTRA,2017-18,3350,874907124,26800,2017,"Calendar Year (Jan - Dec), 2017"
MANIPUR,2017-18,600,137625457,4800,2017,"Calendar Year (Jan - Dec), 2017"
MEGHALAYA,2017-18,75,11825724,600,2017,"Calendar Year (Jan - Dec), 2017"
MIZORAM,2017-18,249,27397408,1992,2017,"Calendar Year (Jan - Dec), 2017"
NAGALAND,2017-18,934,267503992,7472,2017,"Calendar Year (Jan - Dec), 2017"
ODISHA,2017-18,2387,566761260,19096,2017,"Calendar Year (Jan - Dec), 2017"
PUDUCHERRY,2017-18,42,7577109,336,2017,"Calendar Year (Jan - Dec), 2017"
MANIPUR,2019-20,1173,203589997,9384,2019,"Calendar Year (Jan - Dec), 2019"
MEGHALAYA,2019-20,377,56895654,3016,2019,"Calendar Year (Jan - Dec), 2019"
MIZORAM,2019-20,760,108360347,6080,2019,"Calendar Year (Jan - Dec), 2019"
NAGALAND,2019-20,1109,264972703,8872,2019,"Calendar Year (Jan - Dec), 2019"
ODISHA,2019-20,2723,781575141,21784,2019,"Calendar Year (Jan - Dec), 2019"
PUDUCHERRY,2019-20,64,11722183,512,2019,"Calendar Year (Jan - Dec), 2019"
PUNJAB,2019-20,1696,391690434,13568,2019,"Calendar Year (Jan - Dec), 2019"
RAJASTHAN,2019-20,3023,816585561,24184,2019,"Calendar Year (Jan - Dec), 2019"
SIKKIM,2019-20,79,17454174,632,2019,"Calendar Year (Jan - Dec), 2019"
TAMIL NADU,2019-20,5173,1240475118,41384,2019,"Calendar Year (Jan - Dec), 2019"
TELANGANA,2019-20,2171,711401212,17368,2019,"Calendar Year (Jan - Dec), 2019"
TRIPURA,2019-20,963,183523371,7704,2019,"Calendar Year (Jan - Dec), 2019"
UTTAR PRADESH,2019-20,6118,2164189342,48944,2019,"Calendar Year (Jan - Dec), 2019"
UTTARAKHAND,2019-20,1844,343920016,14752,2019,"Calendar Year (Jan - Dec), 2019"
WEST BENGAL,2019-20,2220,848371735,17760,2019,"Calendar Year (Jan - Dec), 2019"
ANDAMAN AND NICOBAR ISLAND,2018-19,229,31839091,1832,2018,"Calendar Year (Jan - Dec), 2018"
ANDHRA PRADESH,2018-19,2246,908296586,17968,2018,"Calendar Year (Jan - Dec), 2018"
ARUNACHAL PRADESH,2018-19,280,41967473,2240,2018,"Calendar Year (Jan - Dec), 2018"
ASSAM,2018-19,3737,416469519,29896,2018,"Calendar Year (Jan - Dec), 2018"
BIHAR,2018-19,3303,984115257,26424,2018,"Calendar Year (Jan - Dec), 2018"
PUNJAB,2017-18,1515,392896192,12120,2017,"Calendar Year (Jan - Dec), 2017"
RAJASTHAN,2017-18,1576,492880829,12608,2017,"Calendar Year (Jan - Dec), 2017"
SIKKIM,2017-18,37,4635499,296,2017,"Calendar Year (Jan - Dec), 2017"
TAMIL NADU,2017-18,4100,973026387,32800,2017,"Calendar Year (Jan - Dec), 2017"
TELANGANA,2017-18,1185,405907334,9480,2017,"Calendar Year (Jan - Dec), 2017"
TRIPURA,2017-18,1115,189011232,8920,2017,"Calendar Year (Jan - Dec), 2017"
UTTAR PRADESH,2017-18,5412,1682691612,43296,2017,"Calendar Year (Jan - Dec), 2017"
UTTARAKHAND,2017-18,1607,287120398,12856,2017,"Calendar Year (Jan - Dec), 2017"
WEST BENGAL,2017-18,1363,388811018,10904,2017,"Calendar Year (Jan - Dec), 2017"
ANDAMAN AND NICOBAR ISLAND,2016-17,170,18027402,1360,2016,"Calendar Year (Jan - Dec), 2016"
ANDHRA PRADESH,2016-17,717,243939299,5736,2016,"Calendar Year (Jan - Dec), 2016"
ARUNACHAL PRADESH,2016-17,201,29099175,1608,2016,"Calendar Year (Jan - Dec), 2016"
